date,entry_price,f_close_ema50,f_ema50_ema200,f_close_ema200,f_adx,f_er,f_atr_pct,f_rsi,f_rsi_delta2,f_bb_pos,f_room,f_natr_pct,f_mom_pct,f_vol_ratio,f_regime,f_htf_ok,f_btc_riskon,f_hour,f_dow,f_dip_depth,f_bear_bars8,f_body_strength,f_lower_wick,f_close_in_rng,f_vol_beat,f_rsi_speed3,f_stop_dist,label,ret_tb
2021-01-08 20:15:00+00:00,3.0993,-0.008615798447429213,0.19576359243167363,0.18546113432850841,21.992718550469185,0.16025932912682417,0.03549932183062738,39.235009178697815,-5.859703685168675,0.02197450926507246,1.198506025318935,0.635,-0.09534846290037012,0.6375792209888167,0.0,1.0,1.0,20.0,4.0,-0.01786576533075801,0.375,0.06215469527410876,0.05662983347196044,0.11878452874606919,0.8971847536971909,-5.193917548488081,0.07116358098076596,1,0.0691635809807658
2021-01-08 20:45:00+00:00,3.0648,-0.019445219161699057,0.1891156297937675,0.16599301576382586,23.451392901276137,0.14170993714393837,0.03585443072227025,39.32334632538827,0.08833714669045634,0.09975741576889233,1.4078509883284525,0.635,-0.11383360522022838,1.0062208508616948,0.0,1.0,1.0,20.0,4.0,-0.021207177814029365,0.375,0.5996309907783112,0.0,0.5996309907783112,1.1379656422378932,0.8011161901010837,0.07171354095781671,1,0.06971354095781668
2021-01-08 21:00:00+00:00,3.1186,-0.002146122318302912,0.1868095640229439,0.18426252553001898,23.54514789859656,0.15253038122190776,0.035971247918816264,43.47617842370373,9.603369563266085,0.23260227072238582,1.1943404354640355,0.635,-0.079100936257535,1.640791087843735,0.0,1.0,1.0,21.0,4.0,-0.03809157368218541,0.375,0.38028168746280405,0.44577464474806555,0.8260563322108696,1.638014203894747,4.2411692450059135,0.0719471096063645,1,0.06994710960636441
2021-01-09 07:45:00+00:00,3.084,-0.022678259835352987,0.11908562641006926,0.09370671179633283,15.312698633052566,0.13204146011716997,0.018835993967088946,40.089002610069834,-3.442450369483069,0.13181384433762433,1.3017742043868235,0.02,-0.026075111889472667,0.4710914833114989,0.0,1.0,1.0,7.0,5.0,-0.0074917299085426325,0.625,0.3242424144168953,0.1727272674931147,0.49696968191000995,0.818113784819662,-2.4143380100232577,0.037664658753645955,1,0.035664658753645995
2021-01-09 16:30:00+00:00,3.0423,-0.035159591308441374,0.07887081467860191,0.040938157759897065,19.790541067165584,0.13620604259534436,0.014644821727800976,34.64568905647647,-5.118905888160377,0.040910500046504865,1.5482151653659937,0.02,-0.04088412327730826,1.058783083709836,0.0,1.0,1.0,16.0,5.0,-0.004308785317238328,0.375,0.27160492709443845,0.20576130840488202,0.47736623549932045,0.9012206969569633,-6.839487691888124,0.029270388521206524,0,-0.03127038852120656
2021-01-10 11:30:00+00:00,3.23,-0.0773685920244106,0.08270899847472779,-0.0010586723094218042,37.57240920376385,0.018731827331693048,0.024876285807849154,22.379605606027894,-6.789289733370126,-0.07173153589257657,2.4962802036735297,0.6,-0.1432866352591123,1.5089020879339836,0.0,1.0,1.0,11.0,6.0,-0.019030498388296513,0.875,0.1436925635447558,0.15204678235550023,0.295739345900256,0.8500826170131145,-12.460428670380537,0.04969711983309257,1,0.04769711983309266
2021-01-10 11:45:00+00:00,3.2501,-0.06801125568817878,0.07964429571436282,0.006216331466249558,39.54050343619124,0.031955044871257235,0.024306747284606158,25.929963167498272,5.401019855003597,0.04538011826744107,2.4627011726051995,0.58,-0.1485800436909633,0.9756943598505029,0.0,1.0,1.0,11.0,6.0,-0.026183809728931418,0.75,0.3210862568516598,0.07827475913299282,0.3993610159846526,0.5430002377174216,-3.238932171899748,0.048613494569212316,1,0.046613494569212266
2021-01-10 12:00:00+00:00,3.3167,-0.0482747098268238,0.07724777619669143,0.02524395238920496,40.76417602391063,0.04677219545767368,0.024574147177404384,34.421427528889055,12.04182192286116,0.18355778175110035,2.114149218649192,0.585,-0.10838063035865247,1.4867824631018254,0.0,1.0,1.0,12.0,6.0,-0.044499456587368647,0.625,0.5532859631146878,0.411190049634193,0.9644760127488807,0.8586269903136431,13.89248421639438,0.049084575095989555,1,0.04708457509598962
2021-01-10 12:15:00+00:00,3.35,-0.036054918482647524,0.07527019047561945,0.03650141141120011,40.736950035856495,0.05465763896472645,0.023984909732103318,38.968954874993166,13.038991707494894,0.26739706061182844,1.9300737650038498,0.57,-0.09429850746268659,1.640576648388277,0.0,1.0,1.0,12.0,6.0,-0.055223880597014885,0.5,0.49925036732758243,0.09895052325411755,0.5982008905817,0.9763913224334315,16.58934926896527,0.047969819464206635,0,-0.049969819464206644
2021-01-10 13:00:00+00:00,3.3881,-0.021049845179885174,0.0696749800534402,0.04715848733051842,39.56507681082034,0.04842871499578988,0.0229297792137653,44.79686477823918,7.352491341935874,0.3988155272686161,1.4549136817858563,0.535,-0.07142857142857142,0.8635655119269735,0.0,1.0,1.0,13.0,6.0,-0.06582054309327035,0.375,0.5829555704174451,0.15865820345731513,0.7416137738747602,0.6215035424486183,5.827909903246017,0.045858204879570756,0,-0.04785820487957071
